Dataset,Modality,Method,Stage,Fold,Accuracy,Positive F1,Precision,Recall,Macro-F1,Negative F1,AUROC,Support Negative,Support Positive,Confusion Matrix,Invalid Qwen Outputs,Fold Coverage,Protocol
cmdc,audio_only,xgb_optuna,cv,2,0.9333333333333333,0.888888888888889,1.0,0.8,0.9206349206349207,0.9523809523809523,1.0,10,5,"[[10, 0], [1, 4]]",0,1,symmetric_merged_cv
turkish,audio_only,qwen,cv,2,0.6666666666666666,0.7999999999999999,0.6956521739130435,0.9411764705882353,0.39999999999999997,0.0,0.5462184873949579,7,17,"[[0, 7], [1, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,logreg,cv,2,0.5833333333333334,0.7368421052631577,0.6666666666666666,0.8235294117647058,0.36842105263157887,0.0,0.5714285714285714,7,17,"[[0, 7], [3, 14]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_fixed,cv,2,0.625,0.7692307692307693,0.6818181818181818,0.8823529411764706,0.38461538461538464,0.0,0.453781512605042,7,17,"[[0, 7], [2, 15]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_optuna,cv,2,0.625,0.7692307692307693,0.6818181818181818,0.8823529411764706,0.38461538461538464,0.0,0.44537815126050423,7,17,"[[0, 7], [2, 15]]",0,1,symmetric_merged_cv
d3tec,audio_only,qwen,cv,2,0.46153846153846156,0.3636363636363636,0.4,0.3333333333333333,0.4484848484848485,0.5333333333333333,0.5238095238095238,7,6,"[[4, 3], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_only,logreg,cv,2,0.38461538461538464,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38095238095238093,0.42857142857142855,0.40476190476190477,7,6,"[[3, 4], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_fixed,cv,2,0.5384615384615384,0.4,0.5,0.3333333333333333,0.5125000000000001,0.6250000000000001,0.4523809523809524,7,6,"[[5, 2], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_optuna,cv,2,0.5384615384615384,0.4,0.5,0.3333333333333333,0.5125000000000001,0.6250000000000001,0.47619047619047616,7,6,"[[5, 2], [4, 2]]",0,1,symmetric_merged_cv
androids_interview,audio_only,qwen,cv,2,0.9565217391304348,0.9523809523809523,0.9090909090909091,1.0,0.9561904761904763,0.9600000000000001,0.9692307692307692,13,10,"[[12, 1], [0, 10]]",0,1,symmetric_merged_cv
androids_interview,audio_only,logreg,cv,2,0.9565217391304348,0.9523809523809523,0.9090909090909091,1.0,0.9561904761904763,0.9600000000000001,0.9846153846153847,13,10,"[[12, 1], [0, 10]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_fixed,cv,2,0.8695652173913043,0.8695652173913044,0.7692307692307693,1.0,0.8695652173913044,0.8695652173913044,1.0,13,10,"[[10, 3], [0, 10]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_optuna,cv,2,0.8695652173913043,0.8695652173913044,0.7692307692307693,1.0,0.8695652173913044,0.8695652173913044,1.0,13,10,"[[10, 3], [0, 10]]",0,1,symmetric_merged_cv
daic,audio_only,qwen,cv,3,0.8571428571428571,0.6666666666666666,1.0,0.5,0.7878787878787878,0.9090909090909091,0.875,20,8,"[[20, 0], [4, 4]]",0,1,symmetric_merged_cv
daic,audio_only,logreg,cv,3,0.8928571428571429,0.7999999999999999,0.8571428571428571,0.75,0.8634146341463413,0.9268292682926829,0.90625,20,8,"[[19, 1], [2, 6]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_fixed,cv,3,0.8214285714285714,0.6153846153846154,0.8,0.5,0.7495527728085869,0.8837209302325583,0.8625,20,8,"[[19, 1], [4, 4]]",0,1,symmetric_merged_cv
daic,audio_only,xgb_optuna,cv,3,0.8571428571428571,0.6666666666666666,1.0,0.5,0.7878787878787878,0.9090909090909091,0.84375,20,8,"[[20, 0], [4, 4]]",0,1,symmetric_merged_cv
cmdc,audio_only,qwen,cv,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_only,logreg,cv,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_fixed,cv,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
cmdc,audio_only,xgb_optuna,cv,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,5,"[[10, 0], [0, 5]]",0,1,symmetric_merged_cv
turkish,audio_only,qwen,cv,3,0.6956521739130435,0.8108108108108109,0.7142857142857143,0.9375,0.5165165165165165,0.22222222222222224,0.8392857142857143,7,16,"[[1, 6], [1, 15]]",0,1,symmetric_merged_cv
turkish,audio_only,logreg,cv,3,0.782608695652174,0.8648648648648648,0.7619047619047619,1.0,0.6546546546546547,0.4444444444444445,0.8571428571428571,7,16,"[[2, 5], [0, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_fixed,cv,3,0.782608695652174,0.8648648648648648,0.7619047619047619,1.0,0.6546546546546547,0.4444444444444445,0.8303571428571429,7,16,"[[2, 5], [0, 16]]",0,1,symmetric_merged_cv
turkish,audio_only,xgb_optuna,cv,3,0.7391304347826086,0.8421052631578948,0.7272727272727273,1.0,0.5460526315789473,0.25,0.7946428571428571,7,16,"[[1, 6], [0, 16]]",0,1,symmetric_merged_cv
d3tec,audio_only,qwen,cv,3,0.5833333333333334,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.6666666666666667,0.4444444444444444,6,6,"[[5, 1], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_only,logreg,cv,3,0.5,0.25,0.5,0.16666666666666666,0.4375,0.625,0.3888888888888889,6,6,"[[5, 1], [5, 1]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_fixed,cv,3,0.5833333333333334,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.6666666666666667,0.5277777777777778,6,6,"[[5, 1], [4, 2]]",0,1,symmetric_merged_cv
d3tec,audio_only,xgb_optuna,cv,3,0.5,0.25,0.5,0.16666666666666666,0.4375,0.625,0.5555555555555556,6,6,"[[5, 1], [5, 1]]",0,1,symmetric_merged_cv
androids_interview,audio_only,qwen,cv,3,0.6956521739130435,0.7586206896551725,1.0,0.6111111111111112,0.6734279918864098,0.5882352941176471,0.9,5,18,"[[5, 0], [7, 11]]",0,1,symmetric_merged_cv
androids_interview,audio_only,logreg,cv,3,0.6956521739130435,0.7586206896551725,1.0,0.6111111111111112,0.6734279918864098,0.5882352941176471,0.9,5,18,"[[5, 0], [7, 11]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_fixed,cv,3,0.8260869565217391,0.8750000000000001,1.0,0.7777777777777778,0.7946428571428572,0.7142857142857143,0.8666666666666667,5,18,"[[5, 0], [4, 14]]",0,1,symmetric_merged_cv
androids_interview,audio_only,xgb_optuna,cv,3,0.8260869565217391,0.8750000000000001,1.0,0.7777777777777778,0.7946428571428572,0.7142857142857143,0.8666666666666667,5,18,"[[5, 0], [4, 14]]",0,1,symmetric_merged_cv
daic,audio_only,qwen,cv,4,0.6428571428571429,0.28571428571428575,0.3333333333333333,0.25,0.5238095238095238,0.761904761904762,0.53125,20,8,"[[16, 4], [6, 2]]",0,1,symmetric_merged_cv
